time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat,,,
5/22/2018 23:10,traces/generated/5to10OneThree/0062.trace,225,225,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2250,600,"(2250,600)"
5/22/2018 21:02,traces/generated/5to10OneThree/0064.trace,250,250,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2500,600,"(2500,600)"
5/22/2018 21:01,traces/generated/5to10OneThree/0045.trace,2,5,4,3,10,"G(->(x1,G(!(x0))))",14.60205197,"&(x0,!(X(x1)))",,70,14.60205197,"(70,14.60205197)"
5/22/2018 19:45,traces/generated/5to10OneThree/0047.trace,9,25,4,3,10,"G(->(x1,G(!(x0))))",277.9028979,"!(U(F(X(x0)),x1))",,340,277.9028979,"(340,277.9028979)"
5/22/2018 21:22,traces/generated/5to10OneThree/0049.trace,12,50,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,620,600,"(620,600)"
5/22/2018 19:52,traces/generated/5to10OneThree/0051.trace,10,75,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,850,600,"(850,600)"
5/22/2018 21:46,traces/generated/5to10OneThree/0053.trace,16,100,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1160,600,"(1160,600)"
5/22/2018 23:58,traces/generated/5to10OneThree/0055.trace,23,125,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1480,600,"(1480,600)"
5/23/2018 1:54,traces/generated/5to10OneThree/0057.trace,23,150,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1730,600,"(1730,600)"
5/22/2018 23:38,traces/generated/5to10OneThree/0059.trace,39,175,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2140,600,"(2140,600)"
5/23/2018 0:28,traces/generated/5to10OneThree/0061.trace,42,200,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2420,600,"(2420,600)"
5/22/2018 22:08,traces/generated/5to10OneThree/0063.trace,56,225,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2810,600,"(2810,600)"
5/22/2018 20:23,traces/generated/5to10OneThree/0065.trace,46,250,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600,2960,600,"(2960,600)"
