time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-21 00:49,traces/generated/freshTests/0106.trace,100,100,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",112.18218481726944,8,2,10,experiments/dtStrategy1Subset10/0106_tree.txt
2018-05-21 00:51,traces/generated/freshTests/0222.trace,400,400,1,2,3,G(x0),12.759568400681019,1,1,10,experiments/dtStrategy1Subset10/0222_tree.txt
2018-05-21 00:51,traces/generated/freshTests/0005.trace,7,50,2,2,8,G(!(x0)),29.46797464042902,2,1,10,experiments/dtStrategy1Subset10/0005_tree.txt
2018-05-21 00:52,traces/generated/freshTests/0097.trace,500,500,4,3,5,"G(->(x1,G(!(x0))))",482.6147290505469,8,1,10,experiments/dtStrategy1Subset10/0097_tree.txt
2018-05-21 01:00,traces/generated/freshTests/0127.trace,450,450,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,/,10,experiments/dtStrategy1Subset10/0127_tree.txt
2018-05-21 01:10,traces/generated/freshTests/0203.trace,13,50,1,2,8,G(x0),7.825742686167359,1,1,10,experiments/dtStrategy1Subset10/0203_tree.txt
2018-05-21 01:10,traces/generated/freshTests/0291.trace,450,450,3,3,3,"G(->(x1,G(x0)))",90.28373756445944,4,1,10,experiments/dtStrategy1Subset10/0291_tree.txt
2018-05-21 01:11,traces/generated/freshTests/0148.trace,250,250,1,2,5,F(x0),7.900314763188362,1,1,10,experiments/dtStrategy1Subset10/0148_tree.txt
2018-05-21 01:11,traces/generated/freshTests/0024.trace,400,400,2,2,3,G(!(x0)),23.739971604198217,2,1,10,experiments/dtStrategy1Subset10/0024_tree.txt
2018-05-21 01:12,traces/generated/freshTests/0256.trace,400,400,2,3,5,"->(F(x1),U(x0,x1))",68.73697824962437,7,1,10,experiments/dtStrategy1Subset10/0256_tree.txt
